,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1409,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Spadea V.,Delic A.,78.0,83.0,515.0,491.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.58,2.35,1.48,2.53,1.575,2.64,1.46,2.64,2007-329,Tokyo,Hard,48,A,2007-10-02,2,102434,,,Spadea V.,R,183.0,USA,33.2019164956,78.0,515.0,104025,,,Delic A.,R,196.0,BIH,25.2539356605,83.0,491.0,6-3 6-1,3,R64,52.0,2.0,0.0,47.0,36.0,28.0,6.0,8.0,1.0,1.0,2.0,0.0,42.0,24.0,15.0,6.0,8.0,3.0,7.0
1410,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Gimelstob J.,Kubot L.,667.0,181.0,25.0,239.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.7,1.45,2.88,1.38,3.1,1.435,3.0,1.37,2007-329,Tokyo,Hard,48,A,2007-10-02,14,102925,,,Gimelstob J.,R,196.0,USA,30.6776180698,667.0,25.0,103997,,,Kubot L.,R,190.0,POL,25.3771389459,181.0,239.0,6-4 7-5,3,R64,96.0,4.0,3.0,61.0,39.0,25.0,7.0,11.0,3.0,7.0,3.0,1.0,60.0,28.0,18.0,11.0,11.0,1.0,7.0
1411,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Gregorc L.,Terachi T.,543.0,411.0,41.0,76.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.0,1.8,,,2.07,1.855,1.95,1.8,2007-329,Tokyo,Hard,48,A,2007-10-02,5,104305,,Q,Gregorc L.,R,,SLO,23.627652293,543.0,41.0,103403,,Q,Terachi T.,R,,JPN,28.2327173169,411.0,76.0,6-4 6-4,3,R64,84.0,4.0,6.0,59.0,33.0,26.0,13.0,10.0,0.0,2.0,2.0,3.0,73.0,36.0,22.0,19.0,10.0,7.0,11.0
1412,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Vanek J.,Iwabuchi S.,110.0,355.0,392.0,95.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.4,1.48,2.53,1.625,2.5,1.57,2.34,2007-329,Tokyo,Hard,48,A,2007-10-02,16,103181,,,Vanek J.,R,185.0,CZE,29.4373716632,110.0,392.0,102667,,WC,Iwabuchi S.,L,175.0,JPN,31.9835728953,355.0,95.0,6-4 6-4,3,R64,70.0,12.0,2.0,56.0,42.0,36.0,6.0,10.0,4.0,4.0,3.0,2.0,59.0,34.0,23.0,15.0,10.0,3.0,5.0
1413,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Sela D.,Stadler S.,109.0,211.0,392.0,192.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.55,1.5,2.45,1.446,3.04,1.43,2.74,2007-329,Tokyo,Hard,48,A,2007-10-02,10,104534,,,Sela D.,R,175.0,ISR,22.4914442163,109.0,392.0,104217,,Q,Stadler S.,L,183.0,GER,24.1998631075,211.0,192.0,6-4 7-5,3,R64,89.0,1.0,2.0,69.0,41.0,27.0,17.0,11.0,3.0,5.0,3.0,0.0,72.0,51.0,30.0,9.0,11.0,6.0,10.0
1414,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,1st Round,3,Becker B.,Suzuki T.,58.0,216.0,608.0,189.0,7.0,5.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.61,2.2,1.68,2.15,1.58,2.28,1.769,2.2,1.55,2.38,2007-329,Tokyo,Hard,48,A,2007-10-02,8,103794,,,Becker B.,R,178.0,GER,26.2915811088,58.0,608.0,102863,,WC,Suzuki T.,R,175.0,JPN,31.0280629706,216.0,189.0,7-5 3-6 6-4,3,R64,125.0,12.0,3.0,102.0,61.0,45.0,24.0,15.0,6.0,7.0,12.0,4.0,94.0,51.0,39.0,26.0,16.0,2.0,4.0
1415,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-02,International Gold,Outdoor,Hard,2nd Round,3,Schuettler R.,Soeda G.,118.0,230.0,363.0,172.0,6.0,3.0,1.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.36,3.0,1.4,2.9,1.37,2.92,1.417,3.2,1.37,3.0,2007-329,Tokyo,Hard,48,A,2007-10-02,11,102783,,,Schuettler R.,R,180.0,GER,31.4332648871,118.0,363.0,104424,,WC,Soeda G.,R,178.0,JPN,23.0691307324,230.0,172.0,6-3 1-6 6-2,3,R64,86.0,2.0,4.0,69.0,40.0,32.0,15.0,12.0,2.0,4.0,4.0,0.0,62.0,40.0,30.0,12.0,12.0,1.0,4.0
1416,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-03,International Gold,Outdoor,Hard,2nd Round,3,Johansson T.,Gimelstob J.,55.0,667.0,614.0,25.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.16,5.0,1.2,4.45,1.227,5.0,1.18,4.55,2007-329,Tokyo,Hard,48,A,2007-10-03,30,102563,12.0,,Johansson T.,R,180.0,SWE,32.5229295003,55.0,614.0,102925,,,Gimelstob J.,R,196.0,USA,30.6776180698,667.0,25.0,6-4 6-4,3,R32,75.0,8.0,2.0,48.0,27.0,24.0,16.0,10.0,0.0,0.0,1.0,3.0,57.0,35.0,26.0,11.0,10.0,1.0,3.0
1417,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-03,International Gold,Outdoor,Hard,2nd Round,3,Lopez F.,Kendrick R.,46.0,112.0,697.0,377.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.3,3.4,1.37,2.92,1.351,3.65,1.35,3.1,2007-329,Tokyo,Hard,48,A,2007-10-03,19,103852,10.0,,Lopez F.,L,188.0,ESP,26.0287474333,46.0,697.0,103470,,,Kendrick R.,R,190.0,USA,27.8767967146,112.0,377.0,6-2 6-4,3,R32,63.0,8.0,2.0,46.0,31.0,26.0,8.0,9.0,0.0,1.0,6.0,3.0,52.0,32.0,20.0,9.0,9.0,3.0,7.0
1418,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-03,International Gold,Outdoor,Hard,2nd Round,3,Russell M.,Cilic M.,77.0,106.0,517.0,403.0,7.0,6.0,2.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,2.25,1.57,2.2,1.65,2.3,1.6,2.35,1.69,2.24,1.62,2007-329,Tokyo,Hard,48,A,2007-10-03,31,103188,16.0,,Russell M.,R,173.0,USA,29.4182067077,77.0,517.0,105227,,,Cilic M.,R,198.0,CRO,19.0061601643,106.0,403.0,7-6(2) 2-6 6-1,3,R32,119.0,3.0,3.0,82.0,58.0,42.0,13.0,14.0,1.0,3.0,9.0,5.0,93.0,53.0,34.0,22.0,13.0,6.0,8.0
