,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
402,21,Houston,U.S. Men's Clay Court Championships,2016-04-07,ATP250,Outdoor,Clay,2nd Round,3,Sock J.,Barton M.,25.0,270.0,1525.0,190.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.13,5.0,1.17,5.0,1.15,6.45,1.2,6.45,1.14,5.55,2016-0717,Houston,Clay,32,A,2016-04-07,291,106058,4.0,,Sock J.,R,185.0,USA,23.5263518138,25.0,1525.0,105881,,Q,Barton M.,R,,AUS,24.295687885,270.0,190.0,6-2 7-6(5),3,R16,75.0,5.0,2.0,58.0,31.0,25.0,17.0,10.0,2.0,3.0,7.0,5.0,64.0,37.0,27.0,11.0,10.0,4.0,7.0
403,22,Marrakech,Grand Prix Hassan II,2016-04-04,ATP250,Outdoor,Clay,1st Round,3,Gonzalez M.,Munoz De La Nava D.,147.0,75.0,395.0,707.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.0,1.7,2.1,1.73,2.15,1.78,2.2,1.8,2.1,1.71,2016-0360,Marrakech,Clay,32,A,2016-04-04,279,104216,,Q,Gonzalez M.,R,175.0,ARG,32.7091033539,147.0,395.0,103926,,,Munoz De La Nava D.,L,,ESP,34.1793292266,75.0,707.0,6-1 6-4,3,R32,72.0,6.0,4.0,53.0,31.0,25.0,11.0,9.0,3.0,4.0,1.0,4.0,52.0,37.0,20.0,6.0,8.0,4.0,8.0
404,22,Marrakech,Grand Prix Hassan II,2016-04-04,ATP250,Outdoor,Clay,1st Round,3,Montanes A.,Skugor F.,123.0,151.0,478.0,380.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.82,1.82,2.0,1.8,2.16,1.77,2.17,1.91,1.97,1.8,2016-0360,Marrakech,Clay,32,A,2016-04-04,272,103656,,,Montanes A.,R,175.0,ESP,35.3538672142,123.0,478.0,105015,,Q,Skugor F.,R,193.0,CRO,28.5393566051,151.0,380.0,6-4 6-4,3,R32,92.0,6.0,3.0,59.0,31.0,24.0,19.0,10.0,0.0,1.0,4.0,2.0,77.0,43.0,34.0,11.0,10.0,9.0,12.0
405,22,Marrakech,Grand Prix Hassan II,2016-04-04,ATP250,Outdoor,Clay,1st Round,3,Bagnis F.,Ouahab L.,95.0,320.0,597.0,150.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.45,1.53,2.5,1.56,2.57,1.61,2.75,1.51,2.53,2016-0360,Marrakech,Clay,32,A,2016-04-04,271,105487,,,Bagnis F.,L,,ARG,26.0999315537,95.0,597.0,104467,,WC,Ouahab L.,R,185.0,ALG,31.2826830938,320.0,150.0,7-6(2) 6-2,3,R32,77.0,4.0,5.0,55.0,25.0,20.0,20.0,10.0,1.0,2.0,3.0,4.0,69.0,38.0,24.0,14.0,10.0,4.0,7.0
406,22,Marrakech,Grand Prix Hassan II,2016-04-04,ATP250,Outdoor,Clay,1st Round,3,Mektic N.,El Amrani R.,312.0,,154.0,,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.12,5.0,1.14,5.5,1.18,5.47,1.18,6.5,1.14,5.36,2016-0360,Marrakech,Clay,32,A,2016-04-04,283,105254,,Q,Mektic N.,U,,CRO,27.2772073922,312.0,154.0,105149,,WC,El Amrani R.,R,185.0,MAR,27.8767967146,,,7-5 6-3,3,R32,110.0,8.0,2.0,69.0,42.0,34.0,13.0,10.0,5.0,6.0,5.0,10.0,107.0,62.0,40.0,18.0,11.0,14.0,18.0
407,22,Marrakech,Grand Prix Hassan II,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Giustino L.,72.0,257.0,717.0,204.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.53,2.67,1.53,2.8,1.45,2.69,2016-0360,Marrakech,Clay,32,A,2016-04-05,276,104797,,,Istomin D.,R,188.0,UZB,29.5742642026,72.0,717.0,105841,,Q,Giustino L.,R,,ITA,24.5667351129,257.0,204.0,7-6(1) 6-4,3,R32,143.0,6.0,0.0,66.0,40.0,31.0,18.0,11.0,2.0,3.0,0.0,0.0,66.0,32.0,19.0,21.0,11.0,3.0,5.0
408,22,Marrakech,Grand Prix Hassan II,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Bolelli S.,Daniel T.,84.0,91.0,667.0,619.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.8,1.85,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.94,2016-0360,Marrakech,Clay,32,A,2016-04-05,280,104620,,,Bolelli S.,R,183.0,ITA,30.4887063655,84.0,667.0,106121,,,Daniel T.,R,,JPN,23.1841204654,91.0,619.0,7-5 6-4,3,R32,113.0,4.0,1.0,70.0,47.0,33.0,15.0,11.0,4.0,5.0,6.0,3.0,78.0,54.0,34.0,12.0,11.0,11.0,14.0
409,22,Marrakech,Grand Prix Hassan II,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Almagro N.,Albot R.,62.0,156.0,774.0,370.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.18,4.0,1.22,4.33,1.19,5.32,1.25,5.32,1.21,4.27,2016-0360,Marrakech,Clay,32,A,2016-04-05,284,104597,,,Almagro N.,R,183.0,ESP,30.6201232033,62.0,774.0,105430,,,Albot R.,R,,MDA,26.3956194387,156.0,370.0,6-4 6-3,3,R32,76.0,7.0,0.0,43.0,20.0,17.0,19.0,9.0,0.0,0.0,1.0,2.0,76.0,55.0,31.0,13.0,10.0,4.0,7.0
410,22,Marrakech,Grand Prix Hassan II,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,De Bakker T.,Ahouda A.,105.0,834.0,550.0,23.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.02,19.0,1.0,12.0,1.02,15.0,1.02,20.52,1.03,24.0,1.01,15.33,2016-0360,Marrakech,Clay,32,A,2016-04-05,275,105217,,,De Bakker T.,R,193.0,NED,27.5400410678,105.0,550.0,144760,,WC,Ahouda A.,U,,MAR,18.5626283368,834.0,23.0,7-5 7-6(2),3,R32,107.0,2.0,1.0,69.0,41.0,31.0,20.0,12.0,1.0,2.0,0.0,6.0,76.0,38.0,31.0,16.0,12.0,0.0,2.0
411,22,Marrakech,Grand Prix Hassan II,2016-04-06,ATP250,Outdoor,Clay,1st Round,3,Carreno Busta P.,Donskoy E.,52.0,67.0,879.0,748.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.25,3.5,1.3,3.5,1.28,4.06,1.33,4.1,1.27,3.67,2016-0360,Marrakech,Clay,32,A,2016-04-06,277,105807,7.0,,Carreno Busta P.,R,,ESP,24.7310061602,52.0,879.0,105539,,,Donskoy E.,R,185.0,RUS,25.9055441478,67.0,748.0,6-2 6-3,3,R32,70.0,5.0,0.0,52.0,27.0,21.0,15.0,9.0,3.0,4.0,2.0,0.0,54.0,30.0,16.0,11.0,8.0,4.0,8.0
