,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
597,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Gasquet R.,Hernych J.,21,62.0,1985,1100.0,4.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.22,4.0,1.25,3.95,1.286,3.5,1.25,3.5,1.26,3.7,2009-425,Barcelona,Clay,56,A,2009-04-21,3,104755,13.0,,Gasquet R.,R,185.0,FRA,22.8391512663,21.0,1985.0,103401,,,Hernych J.,R,190.0,CZE,29.787816564,62.0,1100.0,4-6 6-3 6-2,3,R64,110.0,7.0,3.0,80.0,51.0,37.0,17.0,14.0,1.0,3.0,6.0,2.0,72.0,47.0,30.0,14.0,13.0,3.0,7.0
598,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,2nd Round,3,Andreev I.,Martin A.,26,102.0,1795,831.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.4,2.95,1.3,3.4,1.364,2.875,1.32,3.25,2009-425,Barcelona,Clay,56,A,2009-04-21,34,104214,12.0,,Andreev I.,R,185.0,RUS,25.7686516085,26.0,1795.0,103252,,WC,Martin A.,R,175.0,ESP,30.6666666667,102.0,831.0,6-2 6-2,3,R32,63.0,1.0,0.0,41.0,28.0,24.0,9.0,8.0,1.0,1.0,0.0,5.0,54.0,26.0,14.0,14.0,8.0,3.0,7.0
599,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,2nd Round,3,Ferrer D.,Kukushkin M.,13,172.0,2865,445.0,6.0,3.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.06,8.0,1.05,8.75,1.071,7.5,1.071,7.0,1.07,8.0,2009-425,Barcelona,Clay,56,A,2009-04-21,36,103970,4.0,,Ferrer D.,R,175.0,ESP,27.0499657769,13.0,2865.0,105062,,Q,Kukushkin M.,R,183.0,KAZ,21.3169062286,172.0,445.0,6-3 3-6 6-1,3,R32,120.0,2.0,0.0,82.0,56.0,37.0,15.0,13.0,6.0,8.0,1.0,1.0,76.0,42.0,23.0,21.0,12.0,3.0,7.0
600,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Davydenko N.,Clement A.,8,57.0,3675,1144.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.1,6.5,1.15,5.6,1.143,5.0,1.125,5.5,1.14,5.3,2009-425,Barcelona,Clay,56,A,2009-04-22,29,103786,3.0,,Davydenko N.,R,178.0,RUS,27.8822724162,8.0,3675.0,103096,,,Clement A.,R,173.0,FRA,31.3401779603,57.0,1144.0,7-6(2) 6-2,3,R32,117.0,5.0,1.0,68.0,50.0,40.0,9.0,10.0,2.0,2.0,1.0,3.0,85.0,44.0,24.0,24.0,10.0,9.0,11.0
601,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Berdych T.,Hernandez O.,28,68.0,1780,1004.0,6.0,2.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.38,2.87,1.45,2.7,1.5,2.5,1.4,2.75,1.46,2.62,2009-425,Barcelona,Clay,56,A,2009-04-22,39,104607,15.0,,Berdych T.,R,196.0,CZE,23.5893223819,28.0,1780.0,103169,,,Hernandez O.,R,180.0,ESP,31.0280629706,68.0,1004.0,6-2 4-6 6-3,3,R32,122.0,8.0,1.0,89.0,48.0,35.0,20.0,14.0,5.0,8.0,0.0,4.0,75.0,54.0,35.0,8.0,13.0,1.0,6.0
602,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Robredo T.,Gaudio G.,16,966.0,2570,18.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.1,6.5,1.16,5.29,1.167,4.5,1.143,5.0,1.17,4.8,2009-425,Barcelona,Clay,56,A,2009-04-22,33,103990,6.0,,Robredo T.,R,180.0,ESP,26.970568104,16.0,2570.0,103292,,WC,Gaudio G.,R,175.0,ARG,30.3627652293,966.0,18.0,7-6(6) 6-1,3,R32,91.0,2.0,2.0,65.0,37.0,27.0,13.0,10.0,4.0,6.0,0.0,3.0,68.0,43.0,25.0,10.0,9.0,4.0,8.0
603,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Nalbandian D.,Kunitsyn I.,15,38.0,2625,1523.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.75,1.3,3.5,1.25,3.75,1.2,4.0,1.33,3.2,2009-425,Barcelona,Clay,56,A,2009-04-22,28,103900,7.0,,Nalbandian D.,R,180.0,ARG,27.2991101985,15.0,2625.0,103857,,,Kunitsyn I.,R,180.0,RUS,27.5537303217,38.0,1523.0,7-5 6-4,3,R32,87.0,1.0,4.0,62.0,30.0,21.0,13.0,11.0,2.0,6.0,1.0,1.0,64.0,53.0,26.0,5.0,11.0,6.0,12.0
604,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Stepanek R.,Tipsarevic J.,19,55.0,2370,1150.0,7.0,6.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.57,2.2,1.65,2.25,1.615,2.2,1.667,2.1,1.66,2.18,2009-425,Barcelona,Clay,56,A,2009-04-22,31,103285,9.0,,Stepanek R.,R,185.0,CZE,30.3956194387,19.0,2370.0,104386,,,Tipsarevic J.,R,180.0,SRB,24.8268309377,55.0,1150.0,7-6(2) 6-0,3,R32,94.0,4.0,1.0,53.0,30.0,24.0,15.0,9.0,2.0,3.0,5.0,1.0,64.0,26.0,17.0,15.0,9.0,4.0,8.0
605,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Gonzalez F.,Acasuso J.,14,45.0,2825,1310.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.3,3.55,1.333,3.25,1.286,3.25,1.3,3.4,2009-425,Barcelona,Clay,56,A,2009-04-22,37,103602,5.0,,Gonzalez F.,R,183.0,CHI,28.7255304586,14.0,2825.0,104076,,,Acasuso J.,R,190.0,ARG,26.4996577687,45.0,1310.0,6-4 6-4,3,R32,72.0,3.0,2.0,56.0,39.0,32.0,10.0,10.0,4.0,4.0,1.0,0.0,59.0,39.0,25.0,11.0,10.0,3.0,5.0
606,24,Barcelona,Open Banco Sabadell ,2009-04-22,ATP500,Outdoor,Clay,2nd Round,3,Nadal R.,Gil F.,1,75.0,15390,976.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.005,21.0,1.01,16.0,1.01,17.0,1.002,21.0,1.01,25.0,2009-425,Barcelona,Clay,56,A,2009-04-22,25,104745,1.0,,Nadal R.,L,185.0,ESP,22.8802190281,1.0,15390.0,104523,,Q,Gil F.,R,178.0,POR,24.0739219713,75.0,976.0,6-2 6-2,3,R32,90.0,1.0,0.0,51.0,34.0,23.0,12.0,8.0,3.0,3.0,3.0,3.0,57.0,38.0,20.0,10.0,8.0,3.0,7.0
