,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
375,18,Dubai ,Dubai Tennis Championships,2013-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Federer R.,Davydenko N.,2.0,46.0,9855.0,915.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.1,7.0,1.1,6.25,1.11,6.0,1.13,7.65,1.11,6.0,1.14,8.0,1.1,6.67,2013-495,Dubai,Hard,32,A,2013-02-28,28,103819,2.0,,Federer R.,R,185.0,SUI,31.5509924709,2.0,9855.0,103786,,,Davydenko N.,R,178.0,RUS,31.7344284736,46.0,915.0,6-2 6-2,3,QF,54.0,5.0,0.0,42.0,32.0,27.0,7.0,8.0,0.0,0.0,0.0,1.0,50.0,39.0,23.0,4.0,8.0,3.0,7.0
376,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Kubot L.,40.0,94.0,994.0,580.0,5.0,7.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,1.45,2.65,1.44,2.62,1.51,2.75,1.44,2.75,1.54,2.8,1.46,2.64,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,22,105332,,,Paire B.,R,196.0,FRA,23.8220396988,40.0,994.0,103997,,,Kubot L.,R,190.0,POL,30.8008213552,94.0,580.0,5-7 7-5 6-2,3,R128,129.0,7.0,5.0,106.0,51.0,33.0,26.0,16.0,5.0,11.0,3.0,7.0,96.0,63.0,36.0,13.0,16.0,4.0,12.0
377,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,Troicki V.,54.0,44.0,803.0,925.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.37,1.53,2.5,1.5,2.38,1.53,2.32,1.68,2.63,1.5,2.63,1.68,2.38,1.56,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,18,105676,,,Goffin D.,R,163.0,BEL,22.2395619439,54.0,803.0,104678,,,Troicki V.,R,193.0,SRB,27.06091718,44.0,925.0,4-6 6-3 6-4,3,R128,118.0,1.0,6.0,93.0,49.0,33.0,28.0,15.0,7.0,9.0,10.0,4.0,91.0,53.0,42.0,15.0,14.0,4.0,7.0
378,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Tomic B.,Bellucci T.,45.0,38.0,895.0,1032.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.33,3.15,1.3,3.4,1.38,3.39,1.33,3.25,1.38,3.6,1.33,3.25,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,20,106071,,,Tomic B.,R,193.0,AUS,20.3668720055,45.0,895.0,105064,,,Bellucci T.,L,188.0,BRA,25.1772758385,38.0,1032.0,6-4 6-3,3,R128,68.0,5.0,0.0,50.0,35.0,28.0,13.0,10.0,2.0,2.0,3.0,2.0,51.0,33.0,23.0,10.0,9.0,0.0,2.0
379,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Lorenzi P.,Muller G.,49.0,65.0,827.0,739.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.3,1.57,2.38,1.53,2.53,1.59,2.38,1.57,2.6,1.61,2.4,1.55,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,21,103893,,,Lorenzi P.,R,183.0,ITA,31.2169746749,49.0,827.0,104180,,,Muller G.,L,193.0,LUX,29.8206707734,65.0,739.0,7-5 6-4,3,R128,96.0,1.0,2.0,66.0,39.0,29.0,16.0,11.0,3.0,4.0,12.0,1.0,73.0,47.0,34.0,9.0,11.0,4.0,7.0
380,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Nieminen J.,Sijsling I.,57.0,72.0,790.0,664.0,4.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.47,2.91,1.44,2.75,1.53,2.91,1.46,2.65,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,23,103813,,,Nieminen J.,L,185.0,FIN,31.613963039,57.0,790.0,104997,,,Sijsling I.,R,190.0,NED,25.5441478439,72.0,664.0,4-6 6-3 6-3,3,R128,101.0,8.0,3.0,93.0,57.0,40.0,14.0,14.0,4.0,8.0,4.0,4.0,76.0,39.0,27.0,13.0,14.0,7.0,13.0
381,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Mayer L.,Malisse X.,64.0,50.0,747.0,826.0,6.0,2.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.37,1.53,2.3,1.57,2.25,1.57,2.53,1.59,2.38,1.57,2.56,1.63,2.37,1.57,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,26,104919,,,Mayer L.,R,188.0,ARG,25.8042436687,64.0,747.0,103598,,,Malisse X.,R,185.0,BEL,32.6242299795,50.0,826.0,6-2 3-6 6-4,3,R128,111.0,6.0,6.0,84.0,53.0,35.0,16.0,13.0,5.0,8.0,5.0,2.0,78.0,43.0,33.0,12.0,14.0,4.0,9.0
382,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Nalbandian D.,Granollers M.,93.0,33.0,585.0,1125.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.38,2.87,1.45,2.65,1.44,2.62,1.38,3.35,1.44,2.75,1.46,3.35,1.42,2.82,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,19,103900,,,Nalbandian D.,R,180.0,ARG,31.1704312115,93.0,585.0,104719,,,Granollers M.,R,190.0,ESP,26.893908282,33.0,1125.0,6-4 6-2,3,R128,106.0,4.0,4.0,86.0,50.0,37.0,15.0,9.0,7.0,8.0,3.0,4.0,73.0,39.0,25.0,13.0,9.0,5.0,9.0
383,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Hanescu V.,37.0,55.0,1055.0,803.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.22,4.0,1.22,4.0,1.2,5.23,1.2,4.5,1.22,6.1,1.19,4.59,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,24,104731,,,Anderson K.,R,203.0,RSA,26.7953456537,37.0,1055.0,103812,,,Hanescu V.,R,198.0,ROU,31.6194387406,55.0,803.0,7-6(6) 6-3,3,R128,89.0,7.0,1.0,66.0,44.0,34.0,16.0,11.0,0.0,1.0,4.0,1.0,68.0,53.0,36.0,6.0,10.0,2.0,4.0
384,19,Indian Wells,BNP Paribas Open,2013-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Zverev M.,Melzer J.,144.0,48.0,376.0,835.0,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.9,1.8,2.02,1.74,1.91,1.8,1.88,2.02,2.1,1.73,2.1,2.02,1.96,1.8,2013-404,Indian Wells Masters,Hard,96,M,2013-03-07,17,104999,,Q,Zverev M.,L,190.0,GER,25.5331964408,144.0,376.0,103781,,,Melzer J.,L,183.0,AUT,31.7837097878,48.0,835.0,3-6 6-3 7-6(3),3,R128,140.0,3.0,0.0,119.0,90.0,63.0,11.0,15.0,11.0,14.0,2.0,1.0,101.0,70.0,47.0,18.0,15.0,8.0,11.0
